PEOPLE,recency,frequency,monetary,r_quartile,f_quartile,m_quartile,RFM_Score
ฉษ-7443กทม,288,3,330.0,3,4,4,344
ฉอ-1360,29,3,700.0,1,4,3,143
ฉอ-3712,100,39,19780.79,2,1,1,211
ช-001,15,52,107429.89,1,1,1,111
ช-004,945,41,101852.33999999998,4,1,1,411
ช-005,56,5,809.34,1,3,3,133
ช-019,27,5,5607.48,1,3,2,132
ช-024,1,250,275310.66,1,1,1,111
ช-028,44,50,67360.75,1,1,1,111
ช-034,47,37,3246.6900000000005,1,1,2,112
ช-036,199,3,1495.33,3,4,3,343
ช-037,159,3,5433.64,2,4,2,242
ช-050,114,4,21495.33,2,3,1,231
ช-051,19,2,1450.47,1,4,3,143
ช-071,188,64,28611.21,3,1,1,311
ช-096,192,13,66915.9,3,1,1,311
ช-102,273,2,549.53,3,4,4,344
ช-111,427,2,9345.79,4,4,1,441
ช-112,424,6,434.58000000000004,4,2,4,424
ช-113,231,5,14299.07,3,3,1,331
ช-114,301,4,11925.23,3,3,1,331
ช-115,300,4,21495.33,3,3,1,331
ช-116,241,4,11214.95,3,3,1,331
ช-117,229,2,1450.47,3,4,3,343
ช-118,224,4,18691.59,3,3,1,331
ช-119,71,9,4393.46,2,2,2,222
ช-122,89,18,8580.0,2,1,1,211
ช-125,43,2,4672.9,1,4,2,142
ช-126,38,4,8224.3,1,3,2,132
ชก-7652,58,23,11760.0,1,1,1,111
ชข-2595,97,17,7658.0,2,1,2,212
ชข-5381,290,14,8700.0,3,1,1,311
ชข-5643,110,4,200.0,2,3,4,234
ชข-6675กทม,410,2,1450.0,4,4,3,443
ชข-7002,232,6,4170.0,3,2,2,322
ชข-7848กทม,21,6,2450.0,1,2,2,122
ชข-9920,51,9,11000.0,1,2,1,121
ชค-2702,405,6,1810.0,4,2,3,423
ชค-3011,168,5,2980.0,2,3,2,232
ชค-3336,417,2,230.0,4,4,4,444
ชค-3824,50,19,5790.0,1,1,2,112
ชค-7675,273,12,3550.0,3,1,2,312
ชค-8262,83,8,3500.0,2,2,2,222
ชค-8557กทม,234,5,2140.0,3,3,3,333
ชง-6109,219,2,200.0,3,4,4,344
ชง-7897,318,9,13400.0,4,2,1,421
ชง-8084,94,9,5800.0,2,2,2,222
ชง-8714,109,18,9405.0,2,1,1,211
ชจ-2066,303,9,920.0,3,2,3,323
ชจ-4549,106,20,34830.0,2,1,1,211
ชจ-4549กทม,23,2,800.0,1,4,3,143
ชจ-4599,173,18,38592.0,2,1,1,211
ชจ-7962,199,2,200.0,3,4,4,344
ชจ-8704,195,8,2830.0,3,2,2,322
ชฉ-1495,161,2,230.0,2,4,4,244
ชฉ-3971,15,71,24079.0,1,1,1,111
ชฉ-4219,301,4,3500.0,3,3,2,332
ชฉ-67,194,2,230.0,3,4,4,344
ชฉ-8022,91,3,480.0,2,4,4,244
ชฉ-958,83,7,3070.0,2,2,2,222
ชฉ-975,49,19,15470.0,1,1,1,111
